,emoji,sentiment,re_emoji
168,[玉兔],pos,\[玉兔\]
169,[米奇比心],pos,\[米奇比心\]
170,[笑哈哈],pos,\[笑哈哈\]
171,[拳头],pos,\[拳头\]
172,[给力],pos,\[给力\]
173,[偷乐],pos,\[偷乐\]
174,[中国赞],pos,\[中国赞\]
175,[作揖],pos,\[作揖\]
176,[思考],pos,\[思考\]
177,[微风],pos,\[微风\]
178,[小红花],pos,\[小红花\]
179,[吃瓜],pos,\[吃瓜\]
180,[求饶],pos,\[求饶\]
181,[汗],neu,\[汗\]
182,[酸],pos,\[酸\]
183,[haha],pos,\[haha\]
184,[蛋糕],pos,\[蛋糕\]
185,[太阳],pos,\[太阳\]
186,[裂开],neu,\[裂开\]
187,[奥特曼],pos,\[奥特曼\]
188,[挖鼻],pos,\[挖鼻\]
189,[阴险],pos,\[阴险\]
190,[费解],neu,\[费解\]
191,[摊手],neu,\[摊手\]
192,[杰瑞],pos,\[杰瑞\]
193,[黑线],neu,\[黑线\]
194,[吐],neg,\[吐\]
195,[怒],neg,\[怒\]
196,[ok],pos,\[ok\]
197,[疑问],neu,\[疑问\]
198,[威武],pos,\[威武\]
199,[委屈],pos,\[委屈\]
200,[干杯],pos,\[干杯\]
201,[迷雾剧场],pos,\[迷雾剧场\]
202,[掌宝荧光棒],pos,\[掌宝荧光棒\]
203,[牛哞哞],pos,\[牛哞哞\]
204,[掌宝爱心],pos,\[掌宝爱心\]
205,[傻眼],neu,\[傻眼\]
206,[握手],pos,\[握手\]
207,[晕],neu,\[晕\]
208,[哆啦A梦微笑],pos,\[哆啦A梦微笑\]
209,[拜拜],pos,\[拜拜\]
210,[哆啦A梦吃惊],pos,\[哆啦A梦吃惊\]
211,[暖一下],pos,\[暖一下\]
212,[礼物],pos,\[礼物\]
213,[伤心],neg,\[伤心\]
214,[航天员],pos,\[航天员\]
215,[熊猫],pos,\[熊猫\]
216,[桃花],pos,\[桃花\]
217,[嘘],pos,\[嘘\]
218,[围观],pos,\[围观\]
219,[哈欠],neu,\[哈欠\]
220,[哆啦A梦害怕],neu,\[哆啦A梦害怕\]
221,[左哼哼],neu,\[左哼哼\]
222,[月亮],pos,\[月亮\]
223,[来],pos,\[来\]
224,[钢铁侠],pos,\[钢铁侠\]
225,[右哼哼],neu,\[右哼哼\]
226,[吃惊],neu,\[吃惊\]
227,[飞机],pos,\[飞机\]
228,[怒骂],neg,\[怒骂\]
229,[带着微博去旅行],pos,\[带着微博去旅行\]
230,[猪头],pos,\[猪头\]
231,[NO],neu,\[NO\]
232,[互粉],pos,\[互粉\]
233,[蜡烛],pos,\[蜡烛\]
234,[音乐],pos,\[音乐\]
235,[五仁月饼新],pos,\[五仁月饼新\]
236,[大侦探皮卡丘微笑],pos,\[大侦探皮卡丘微笑\]
237,[浩克],pos,\[浩克\]
238,[哆啦A梦花心],pos,\[哆啦A梦花心\]
239,[感冒],neu,\[感冒\]
240,[钱],pos,\[钱\]
241,[浮云],pos,\[浮云\]
242,[男孩儿],pos,\[男孩儿\]
243,[弗莱见钱眼开],pos,\[弗莱见钱眼开\]
244,[圆月],pos,\[圆月\]
245,[美国队长],pos,\[美国队长\]
246,[顶],neu,\[顶\]
247,[生而为赢],pos,\[生而为赢\]
248,[女孩儿],pos,\[女孩儿\]
249,[浪],pos,\[浪\]
250,[蜘蛛侠],pos,\[蜘蛛侠\]
251,[惊奇队长],pos,\[惊奇队长\]
252,[话筒],pos,\[话筒\]
253,[掌宝加油],pos,\[掌宝加油\]
254,[鹰眼],pos,\[鹰眼\]
255,[奇异博士],pos,\[奇异博士\]
256,[困],neu,\[困\]
257,[马到成功],pos,\[马到成功\]
258,[開學季],pos,\[開學季\]
259,[圣诞老人],pos,\[圣诞老人\]
260,[大雄微笑],pos,\[大雄微笑\]
261,[伴我同行],pos,\[伴我同行\]
262,[ali亲一个],pos,\[ali亲一个\]
263,[爱心],pos,\[爱心\]
264,[炸鸡啤酒],pos,\[炸鸡啤酒\]
265,[米奇飞吻],pos,\[米奇飞吻\]
266,[呵呵],pos,\[呵呵\]
267,[牛轰轰拥抱],pos,\[牛轰轰拥抱\]
268,[ali美好],pos,\[ali美好\]
269,[嘿哈],pos,\[嘿哈\]
270,[红灯笼],pos,\[红灯笼\]
271,[吃狗粮],pos,\[吃狗粮\]
272,[冰雪奇缘雪宝],pos,\[冰雪奇缘雪宝\]
273,[米奇爱你],pos,\[米奇爱你\]
274,[可愛],pos,\[可愛\]
275,[愛你],pos,\[愛你\]
276,[贊],pos,\[贊\]
277,[太開心],pos,\[太開心\]
278,[鮮花],pos,\[鮮花\]
279,[饞嘴],pos,\[饞嘴\]
280,[給你小心心],pos,\[給你小心心\]
281,[贏牛奶],pos,\[贏牛奶\]
282,[好喜歡],pos,\[好喜歡\]
283,[超話],pos,\[超話\]
284,[擠眼],pos,\[擠眼\]
285,[可憐],pos,\[可憐\]
286,[好愛哦],pos,\[好愛哦\]
287,[笑而不語],pos,\[笑而不語\]
288,[求關注],pos,\[求關注\]
289,[親親],pos,\[親親\]
290,[贊啊],pos,\[贊啊\]
291,[單身狗],neu,\[單身狗\]
292,[並不簡單],pos,\[並不簡單\]
293,[春遊家族],pos,\[春遊家族\]
294,[拳頭],pos,\[拳頭\]
295,[給力],pos,\[給力\]
296,[偷樂],pos,\[偷樂\]
297,[中國贊],pos,\[中國贊\]
298,[微風],pos,\[微風\]
299,[小紅花],pos,\[小紅花\]
300,[求饒],pos,\[求饒\]
301,[太陽],pos,\[太陽\]
302,[裂開],neu,\[裂開\]
303,[奧特曼],pos,\[奧特曼\]
304,[陰險],pos,\[陰險\]
305,[費解],neu,\[費解\]
306,[攤手],neu,\[攤手\]
307,[傑瑞],pos,\[傑瑞\]
308,[黑線],neu,\[黑線\]
309,[疑問],neu,\[疑問\]
310,[乾杯],pos,\[乾杯\]
311,[迷霧劇場],pos,\[迷霧劇場\]
312,[掌寶熒光棒],pos,\[掌寶熒光棒\]
313,[掌寶愛心],pos,\[掌寶愛心\]
314,[暈],neu,\[暈\]
315,[哆啦A夢微笑],pos,\[哆啦A夢微笑\]
316,[哆啦A夢吃驚],pos,\[哆啦A夢吃驚\]
317,[禮物],pos,\[禮物\]
318,[傷心],neg,\[傷心\]
319,[航天員],pos,\[航天員\]
320,[熊貓],pos,\[熊貓\]
321,[噓],pos,\[噓\]
322,[圍觀],pos,\[圍觀\]
323,[哆啦A夢害怕],neu,\[哆啦A夢害怕\]
324,[來],pos,\[來\]
325,[鋼鐵俠],pos,\[鋼鐵俠\]
326,[吃驚],neu,\[吃驚\]
327,[飛機],pos,\[飛機\]
328,[怒罵],neg,\[怒罵\]
329,[帶著微博去旅行],pos,\[帶著微博去旅行\]
330,[豬頭],pos,\[豬頭\]
331,[蠟燭],pos,\[蠟燭\]
332,[音樂],pos,\[音樂\]
333,[五仁月餅新],pos,\[五仁月餅新\]
334,[大偵探皮卡丘微笑],pos,\[大偵探皮卡丘微笑\]
335,[哆啦A夢花心],pos,\[哆啦A夢花心\]
336,[錢],pos,\[錢\]
337,[浮雲],pos,\[浮雲\]
338,[男孩兒],pos,\[男孩兒\]
339,[弗萊見錢眼開],pos,\[弗萊見錢眼開\]
340,[圓月],pos,\[圓月\]
341,[美國隊長],pos,\[美國隊長\]
342,[頂],neu,\[頂\]
343,[生而為贏],pos,\[生而為贏\]
344,[女孩兒],pos,\[女孩兒\]
345,[蜘蛛俠],pos,\[蜘蛛俠\]
346,[驚奇隊長],pos,\[驚奇隊長\]
347,[話筒],pos,\[話筒\]
348,[掌寶加油],pos,\[掌寶加油\]
349,[鷹眼],pos,\[鷹眼\]
350,[奇異博士],pos,\[奇異博士\]
351,[馬到成功],pos,\[馬到成功\]
352,[聖誕老人],pos,\[聖誕老人\]
353,[ali親一個],pos,\[ali親一個\]
354,[愛心],pos,\[愛心\]
355,[炸雞啤酒],pos,\[炸雞啤酒\]
356,[米奇飛吻],pos,\[米奇飛吻\]
357,[牛轟轟擁抱],pos,\[牛轟轟擁抱\]
358,[紅燈籠],pos,\[紅燈籠\]
359,[吃狗糧],pos,\[吃狗糧\]
360,[冰雪奇緣雪寶],pos,\[冰雪奇緣雪寶\]
361,[米奇愛你],pos,\[米奇愛你\]
363,打callr,pos,打callr
364,心r,pos,心r
365,允悲r,pos,允悲r
366,doger,pos,doger
367,爱你r,pos,爱你r
368,哈哈r,pos,哈哈r
369,嘻嘻r,pos,嘻嘻r
370,鼓掌r,pos,鼓掌r
371,笑cryr,pos,笑cryr
372,goodr,pos,goodr
373,赞r,pos,赞r
374,憧憬r,pos,憧憬r
