,emoji,channel,sentiment,re_emoji
900,[candy],douyin,pos,\[candy\]
901,[糖葫芦],douyin,pos,\[糖葫芦\]
902,[虎头],douyin,pos,\[虎头\]
903,[饺子],douyin,pos,\[饺子\]
904,[鞭炮],douyin,pos,\[鞭炮\]
905,[元宝],douyin,pos,\[元宝\]
906,[汤圆],douyin,pos,\[汤圆\]
907,[yyds],douyin,pos,\[yyds\]
908,[emo],douyin,pos,\[emo\]
909,[雪人],douyin,pos,\[雪人\]
910,[圣诞树],douyin,pos,\[圣诞树\]
911,[蕉绿],douyin,neu,\[蕉绿\]
912,[屎],douyin,neu,\[屎\]
913,[我太难了],douyin,neu,\[我太难了\]
914,[18禁],douyin,neg,\[18禁\]
915,[强壮],douyin,pos,\[强壮\]
916,[惊喜],douyin,pos,\[惊喜\]
917,[绿帽子],douyin,neu,\[绿帽子\]
918,[暗中观察],douyin,pos,\[暗中观察\]
919,[菜狗],douyin,pos,\[菜狗\]
920,[干饭人],douyin,pos,\[干饭人\]
921,[吐舌],douyin,neu,\[吐舌\]
922,[看],douyin,pos,\[看\]
923,[笑哭],douyin,pos,\[笑哭\]
924,[泪奔],douyin,pos,\[泪奔\]
925,[感谢],douyin,pos,\[感谢\]
926,[泣不成声],douyin,pos,\[泣不成声\]
927,[超话],comments,pos,\[超话\]
928,[米奇比心],comments,pos,\[米奇比心\]
929,[小红花],comments,pos,\[小红花\]
930,[迷雾剧场],comments,pos,\[迷雾剧场\]
931,[桃花],comments,pos,\[桃花\]
932,[五仁月饼新],comments,pos,\[五仁月饼新\]
933,[圆月],comments,pos,\[圆月\]
934,[開學季],comments,pos,\[開學季\]
935,[ali亲一个],comments,pos,\[ali亲一个\]
936,[米奇飞吻],comments,pos,\[米奇飞吻\]
937,[呵呵],comments,pos,\[呵呵\]
938,[ali美好],comments,pos,\[ali美好\]
939,[冰雪奇缘雪宝],comments,pos,\[冰雪奇缘雪宝\]
940,[米奇爱你],comments,pos,\[米奇爱你\]
941,[可愛],comments,pos,\[可愛\]
942,[贊],comments,pos,\[贊\]
943,[太開心],comments,pos,\[太開心\]
944,[鮮花],comments,pos,\[鮮花\]
945,[饞嘴],comments,pos,\[饞嘴\]
946,[給你小心心],comments,pos,\[給你小心心\]
947,[贏牛奶],comments,pos,\[贏牛奶\]
948,[好喜歡],comments,pos,\[好喜歡\]
949,[超話],comments,pos,\[超話\]
950,[擠眼],comments,pos,\[擠眼\]
951,[好愛哦],comments,pos,\[好愛哦\]
952,[笑而不語],comments,pos,\[笑而不語\]
953,[求關注],comments,pos,\[求關注\]
954,[贊啊],comments,pos,\[贊啊\]
955,[單身狗],comments,neu,\[單身狗\]
956,[並不簡單],comments,pos,\[並不簡單\]
957,[春遊家族],comments,pos,\[春遊家族\]
958,[給力],comments,pos,\[給力\]
959,[偷樂],comments,pos,\[偷樂\]
960,[中國贊],comments,pos,\[中國贊\]
961,[微風],comments,pos,\[微風\]
962,[小紅花],comments,pos,\[小紅花\]
963,[求饒],comments,pos,\[求饒\]
964,[裂開],comments,neu,\[裂開\]
965,[奧特曼],comments,pos,\[奧特曼\]
966,[費解],comments,neu,\[費解\]
967,[攤手],comments,neu,\[攤手\]
968,[傑瑞],comments,pos,\[傑瑞\]
969,[黑線],comments,neu,\[黑線\]
